a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
a5#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
Title#0,"""Бедствие, предавшее мир забвению"""
Explanation#0,"""Мы обнаружили признаки появления<br>Магацу на планете Харкотан.<br>В следствии его влияния в Широнии<br>появлось много врагов.<br>С исчезновением Формации Плетёной<br>Золой, ущерб, который может нанести<br>Магацу, неизмерим.<br>――――――――――――――――――――<br>Прохождение: Уничтожить цель<br>Провал: Время закончилось"""
SimpleExplanation#0,"""Спасите Харкотан!"""
Area0S#0,"""Область Широнии"""
Area0L#0,"""Планета Харкотан: Область Широнии"""
Area1S#0,"""Орбита планеты"""
Area1L#0,"""Планета Харкотан: Орбита планеты"""
NpcComMsg1#0,"""Это... ужасная ситуация.<br>Принцесса Сукуна, вы в порядке?"""
NpcComMsg2#0,"""Так вы пришли!<br>Я разберусь с Магацу.<br>Прошу прощения, не могли бы вы<br>разобраться с теми,<br>кто на земле."""
NpcComMsg3#0,"""К миазмам, что заполонили город,<br>опасно прикасаться.<br>Пожалуйста, будьте осторожны.<br>Полагаюсь на вас!"""
NpcComMsg1#1,"""Сейчас вы приступите к опирации<br>по использованию A.I.S. Vega<br>для уничтожения Магацу."""
NpcComMsg2#1,"""Какой мощный сигнал...<br>Вам придётся быть внимательней,<br>чем с ранее встречавшимися<br>Магацу!"""
NpcComMsg3#1,"""Моё благословение не достанет<br>до ваших машин...<br>Но я верю в вашу победу!"""
