Title#0,"""Мир, охваченный тенями"""
Explanation#0,"""惑星ナベリウスをはじめとした<br>複数の惑星に出現した壊世区域。<br>かの場所に敵性反応が続々と出現している。<br>本任務では、各所の敵性反応を集中的に<br>撃退することが目的となる。<br>少数精鋭の部隊を編成し、各惑星を転戦<br>現象の調査と敵勢力の撃退を行え。<br>――――――――――――――――――――<br>Победите врагов с каждой планеты."""
SimpleExplanation#0,"""Победите врагов с каждой планеты!"""
NpcComMsg1#0,"""これより、惑星ナベリウス<br>壊世区域への転送を開始します！"""
NpcComMsg2#0,"""今までにない異常な反応で<br>時空系のパラメータが無茶苦茶です……<br>慎重に調査を進めていきましょう。"""
Area0S#0,"""Искаженная местность, Лес 1"""
Area0L#0,"""Набериус - Искаженный Лес 1"""
Area1S#0,"""Искаженная местность, Тоннели 2"""
Area1L#0,"""Лиллипа - Искаженные Тоннели 2"""
Area2S#0,"""Искаженная местность, Вул. пещеры 3"""
Area2L#0,"""Амдуския - Искаженные Вул. пещеры 3"""
Area3S#0,"""Искажённая местность, Руины 4"""
Area3L#0,"""Набериус - искажённые Руины 4"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
