un_061050_0010#0,"""А, так это ты."""
un_061050_0020#0,"""Слушай, если кто спросит<br>\""Не видели ли вы “Чёрного Волка”?\""..."""
un_061050_0030#0,"""В ответ скажи...<br>\""Я не видел(а) “Чёрного Волка”\""<br>... Прощай."""
un_061050_0040#0,"""Стоять!"""
un_061050_0050#0,"""А, привет!<br>Ты Кё не видел(а)?!"""
un_061050_0060#0,"""Я не видел(а) “Чёрного Волка”"""
un_061050_0070#0,"""Я встретила Кё"""
un_061050_0080#0,"""Да видел(а) же!<br>Только Кё говорит “Чёрный Волк”!"""
un_061050_0090#0,"""Я тебе очень благодарна!<br>Зная его, я уже начала думать,<br>что он скажет тебе не говорить!"""
un_061050_0100#0,"""Значит, он всё ещё должен<br>быть где-то тут...<br>Отлично!"""
un_061050_0110#0,"""Слыш! Кё! Выходи уже давай!<br>Я буду кричать, пока ты<br>не выйдешь!"""
un_061050_0120#0,"""Тч..."""
un_061050_0130#0,"""Нет смысла скрывать своё<br>пристутствие! Я знаю все твои<br>способы."""
un_061050_0140#0,"""А теперь, будь так добр и<br>поведай мне...<br>Чего же не хватает герою в бою?"""
un_061050_0150#0,"""...Отказываюсь.<br>Подумай сама."""
un_061050_0160#0,"""Я об этом думала три дня и три<br>ночи без сна! Но я всё ещё<br>не могу понять это, поэтому я<br>тебя сейчас прошу..."""
un_061050_0170#0,"""\""Тень\"" не может помочь засиять<br>\""Свету\"". Нет ничего, чем бы я<br>мог тебе помочь."""
un_061050_0180#0,"""Это не так! В детские годы ты<br>же учил меня всякому!"""
un_061050_0190#0,"""Ты придумывал различные примеры,<br>чтобы объяснить вещи так, чтобы<br>было понятно и мне и Луко..."""
un_061050_0200#0,"""...Луко?<br>Кто это такой?"""
un_061050_0210#0,"""Да что ты такое говоришь?..<br>Луко услышит и разозлится."""
un_061050_0220#0,"""Она умерла, так что я забыл<br>о ней. Тебе советую с этим<br>не затягивать."""
un_061050_0230#0,"""О-она не умерла!<br>Она где-то ещё жива..."""
un_061050_0240#0,"""Тогда немедленно приведи<br>её сюда! Я её убью!"""
un_061050_0250#0,"""П-почему... ты говоришь такие<br>ужасные вещи?"""
un_061050_0260#0,"""Разве мы в троём не дали<br>обещание работать вместе<br>и верить друг в друга как<br>бы ни было сложно?.."""
un_061050_0270#0,"""Как будто мне не всё равно!<br>Я никогда не забуду, что сделала<br>эта предательница!"""
un_061050_0280#0,"""Что случилось?"""
un_061050_0290#0,"""Кто эта Луко?"""
un_061050_0300#0,"""Мне очень жаль, что втягиваю<br>тебя в это. Это наша старая<br>история..."""
un_061050_0310#0,"""Луко... Лукотта мой второй<br>дорогой друг."""
un_061050_0320#0,"""Мы втроём - друзья детства.<br>Мы вместе учились и смеялись,<br>это была крепкая дружба."""
un_061050_0330#0,"""В конце концов, Луко вступила<br>в АRKS, и стала очень нежной<br>горничной, любящей<br>гостеприимство.<br>Я тоже её очень любила."""
un_061050_0340#0,"""Но... 5 лет назад кое-что<br>произошло."""
un_061050_0350#0,"""В тот день, Луко прислала мне<br>с Кё приглашение: \""Пожалуйста,<br>приходите в старый особняк<br>на окраине города\""."""
un_061050_0360#0,"""Причину она не указала, так что<br>это показалось немного странным..<br>На следующий день мы отправились<br>в особняк."""
un_061050_0370#0,"""Однако, там никого не было...<br>С того самого дня, Луко пропала.<br>Я совсем не могла с ней<br>связаться."""
un_061050_0380#0,"""Мы отчаянно следили за<br>новостями, но, в конце концов,<br>в базе данных АRKS объявили её<br>мёртвой по причине потери<br>сигнала..."""
un_061050_0390#0,"""Не то чтобы в том особняке<br>тогда никого не было. Она<br>пыталась заманить нас в особняк<br>в ловушку и убить!"""
un_061050_0400#0,"""Она не стала бы! Должно быть,<br>она позвала нас в особняк по<br>какой-то причине и почему-то<br>пропала!"""
un_061050_0410#0,"""Хммм... Как знаешь.<br>Не стоит цепляться за такую<br>слабую надежду... она лишь<br>задушит тебя."""
un_061050_0420#0,"""Я знаю... но..."""
un_061050_0430#0,"""Луко, ценившая гостипреимство,<br>и решившая заставить нас пройти<br>через такое... <br>Я просто не могу это принять."""
un_061050_0440#0,"""Кроме того, она была CAST'ом.<br>Она очень сильная и выносливая.<br>Она точно жива!"""
un_061050_0450#0,"""Так что я не сдамся!<br>Однажды, когда Луко вернётся,<br>я ей улыбнусь, и скажу:<br>\""С возвращением\""."""
