name_7007#0,"""Liu Lin"""
ssn_014100_0001#0,"""Have you tried any other Cocoons?"""
ssn_014100_0002#0,"""Actually, I have something to ask you about that."""
ssn_014100_0101#0,"""I would like you to send me the the data you produce within the Cocoons and Towers."""
ssn_014100_0102#0,"""If you can clear all of the Cocoons and Towers within Aelio, you'll be a recognized as a Trainia Master."""
ssn_014100_0103#0,"""Best of luck."""
ssn_014100_0201#0,"""You need to prepare? Very well, at your leisure."""
ssn_014100_0301#0,"""Your mission performance is improving."""
ssn_014100_0302#0,"""Please, keep up the good work."""
ssn_014100_0401#0,"""Nex Aelio is... extremely powerful."""
ssn_014100_0402#0,"""Tread with utmost care."""
