11_voice_NPC_5021_102#0,"""มี ARKS มากมายไม่รู้วิธีส่ง Good Job<br>มันน่าแปลกนะถ้าถามข้า"""
text02#0,"""ซึ่งมันมีบางอย่างระหว่างคนส่งและคนรับ<br>Good job ........"""
text03#0,"""แล้วท่านล่ะ ท่านควรส่ง Good Job ได้แล้ว"""
text04#0,"""ทำอะไรเหรอ? นี่ไม่ได้ฟังที่พูดเลยใช่มั้ย?<br>Good Job ไง!!! ส่ง Good Job!!"""
text05#0,"""แล้วท่านรออะไรอยู่ ไปลองเลย"""
11_voice_NPC_5021_102#1,"""昨今のアークスは、グッジョブを<br>活用しない者が多すぎる！<br>もったいないことだ！"""
text02#1,"""グッジョブを送るというのは<br>相手と自分、双方にとって<br>メリットのある行為だというのに……"""
text03#1,"""ええい、話している内にも<br>不安が鎌首をもたげてきた！<br>君、今すぐ送ってくるといい！"""
text04#1,"""何を、って、決まっているだろう。<br>グッジョブだ！\u3000グッジョブの送信だ！"""
text05#1,"""さあ、さあ、送ってきてくれ！<br>そんなに難しい話ではないだろう。<br>私の不安を払拭してくれ！"""
text00#0,"""เกี่ยวกับ [Good Job]"""
text01#0,"""Good Job คือระบบส่งกำลังใจให้กับผู้เล่นอื่น<br>เมื่อมีการส่ง Good Job ให้กัน<br>ทั้งสองฝ่ายจะได้รับ Fun ทั้งผู้รับและผู้ส่ง<br><br>การส่ง Good Job สามารถส่งได้หลายทางดังต่อไปนี้<br>- Friend List<br>- Team Member<br>- Party Member<br>- ผู้เล่นใกล้ตัว<br>- ประวัติการติดต่อ<br>- ค้นหาARKS"""
text02#2,"""การส่ง Good Job ไม่จำเป็นต้องส่งพร้อมข้อความ<br>แต่ถ้ามีการแนบข้อความไปด้วย ผู้ส่งจะได้รับ FUN มากกว่าปกติ<br><br>การส่ง Good Job จำกัดการส่งให้ผู้รับคนเดียวกันไว้ที่วันละ 1 ครั้งเท่านั้น"""
text00#1,"""『グッジョブ』について"""
text01#1,"""グッジョブとは、ほかのプレイヤーに対して<br>ちょっとした応援の気持ちを送る機能です。<br>グッジョブを送ると、<br>相手や自分がFUNを獲得できます。<br><br>キャラクターを選択するか、<br>以下のメニューから「グッジョブを送る」を<br>選ぶと送信出来ます。<br>・フレンドリスト<br>・チームメンバー一覧<br>・パーティーメンバー<br>・周囲のキャラクター<br>・コミュニケーション履歴<br>・アークスサーチ"""
text02#3,"""グッジョブはコメント無しでも<br>送信できますが、コメントを付けると<br>より多くのFUNを獲得できます。<br><br>同じプレイヤーへのグッジョブで<br>FUNを獲得できるのは、1日1回までです。"""
