text00#0,"""關於「白色情人節限定禮物」"""
text01#0,"""關於「白色情人節限定禮物」<br><br>在浮游大陸的某一處，在限定期間內<br>似乎會出現成群的可愛拉比。<br>很多Arks聽到這個傳聞<br>都為了找尋拉比手上的花而前來搜索。"""
text02#0,"""路上遭遇麻煩。<br>幫助被突發事件或是被陷阱困住的Arks，<br>即可得到「白色情人節禮物」作為謝禮。<br><br>請在規定時間內收集「白色情人節禮物」<br>【314】點完成任務。"""
text03#0,"""關於「白色情人節限定禮物」<br><br>在浮游大陸的某一處，在限定期間內<br>似乎會出現成群的可愛拉比。<br>很多Arks聽到這個傳聞<br>都為了找尋拉比手上的花而前來搜索。"""
text04#0,"""路上遭遇麻煩。<br>幫助被突發事件或是被陷阱困住的Arks，<br>即可得到「白色情人節禮物」作為謝禮。<br><br>請在規定時間內收集「白色情人節禮物」<br>【314】點完成任務。"""
text05#0,"""路上遭遇麻煩。<br>幫助被突發事件或是被陷阱困住的Arks，<br>即可得到「白色情人節禮物」作為謝禮。<br><br>請在規定時間內收集「白色情人節禮物」<br>【314】點完成任務。"""
text00#1,"""『フォトンツリー』について"""
text01#1,"""フォトンツリーとは、チームルームに<br>設置された、フォトンを発生させる<br>チーム共有の特別な植物です。<br><br>植物の持つフォトンの力を使用して<br>プレイヤーは様々な支援効果を<br>享受することができます。"""
text02#1,"""支援効果は、フォトンツリーから強い光<br>発生しているときに、近くの端末から<br>「支援フォトン効果を得る」を選択することで<br>得ることができます。<br><br>※受けた支援効果は一定時間継続します。<br>※支援効果は複数付与することはできません。"""
text03#1,"""フォトンツリーは、チームポイントを<br>使用することで成長させることができます。<br><br>成長させることにより、プレイヤーが<br>受けられる支援効果を強化したり<br>効果時間を長くすることができます。<br><br>※フォトンツリーの成長は<br>チームマスター及びマネージャーのみ<br>行うことができます。"""
text04#1,"""フォトンツリーから支援効果を得るためには<br>「フォトンウォーター」という水を<br>定期的にあげる必要があり、<br>フォトンウォーターがなくなると<br>枯れてしまい、支援効果を受けることが<br>できなくなってしまいます。<br><br>※フォトンウォーターをあげるためには<br>チームポイントを消費します。"""
text05#1,"""チームメンバーで協力して、<br>チームオーダーを積極的にこなして<br>より大きなフォトンツリーへと<br>成長させていきましょう。"""
