name010#0,"""Aina"""
name020#0,"""Manon"""
name030#0,"""Lucia"""
text010#0,"""เรื่องที่คุยกันเมื่อกี้นี้นะ...<br>สรุปก็คือ ที่บุกมาห้องบัญชาการเนี่ย สำหรับหมอนั่นแล้วมันก็แค่มาเล่นสนุกงั้นเหรอ?"""
text020#0,"""อื้อ และต้นตอของความมั่นใจนั่น ก็คือพลังที่เขามีอยู่ยังไงล่ะ"""
text030#0,"""บางที Alter Crawford อาจจะ<br>คัดลอกความสามารถกับสติปัญญาของ Crawford ตัวจริงมาทั้งหมดเลยก็ได้"""
text040#0,"""Aina จำได้ไหม?<br>ตอนที่เคยสู้ร่วมกับ Crawford ก่อนหน้านี้น่ะ"""
text050#0,"""อื้อ เก่งคนละชั้นเลยล่ะ เอาจริงๆ ก็ตกใจอยู่เหมือนกันนะ"""
text060#0,"""Crawford เก่งขนาดนั้นเลยเหรอ?<br>จะพูดไงดีล่ะ... ปกติไม่เห็นจะดูเป็นแบบนั้นเลยแฮะ"""
text070#0,"""เห็นว่าก่อนจะมาเป็นผู้บัญชาการ เขาถูกเรียกว่าเป็นยอดฝีมือระดับท็อป 5 ในหมู่ ARKS เลยนะ"""
text080#0,"""แถม Alter Crawford ยังมีโอกาสที่จะ<br>มีพลังที่พวกเรายังไม่รู้อยู่อีกด้วย ระวังตัวกันให้ดีที่สุดล่ะ"""
