st_044090_0001#0,"""A.D.2028/4/15/12:00"""
st_044090_0010#0,"""Eres tú... Kohri!"""
st_044090_0020#0,"""Estoy tan contenta de que estes a salvo, Kohri."""
st_044090_0030#0,"""Parece que todo salió bien para ti. Tú eras la que inventó la excusa en la escuela, ¿Verdad? Gracias por eso."""
st_044090_0040#0,"""Pero Kohri... ¿Por qué estás aquí?, ¿Por qué estás con ellos?"""
st_044090_0050#0,"""...Detente."""
st_044090_0060#0,"""Bueno... Supongo que los pequeños detalles realmente no importan. Estaba realmente preocupada por ti Kohri, pero me alegra ver que estes bien."""
st_044090_0070#0,"""Detente! Deja de hablar como Hitsugi!"""
st_044090_0080#0,"""¿Kohri?..."""
st_044090_0090#0,"""Hitsugi... Solo espera, Hitsugi. Te voy a devolver a la normalidad. Te voy a liberar"""
st_044090_0100#0,"""Hitsugi solo está siendo manipulada. Tengo que salvarte Mother me lo dijo..."""
st_044090_0110#0,"""¿Qué estás diciendo, Kohri? Realmente no estoy siendo..."""
st_044090_0120#0,"""Está bien, Hitsugi. Todo lo que quiero es salvarte, Hitsugi. No hay nada de qué preocuparse, Hitsugi."""
st_044090_0130#0,"""Porque... Me protegiste, Hitsugi. ¡Estaba siempre conmigo... Y me rescataste!"""
st_044090_0140#0,"""Kohri, ¿También tienes un arma encarnada?... Pero... ¡¿Qué es esa espada siniestra?!"""
st_044090_0150#0,"""Es Gram, ¿No la reconoces? Hitsugi, ¿Cómo no lo puedes saber a pesar de tu conocimiento de la mitología nórdica? Justo como pensaba, estás siendo controlada por otra persona."""
st_044090_0160#0,"""Este es el poder que existe para salvar a Hitsugi. Se me otorgó la fortaleza para rescatar a Hitsugi."""
st_044090_0170#0,"""Siempre he sido protegida por Hitsugi... Fui rescatada por Hitsugi..."""
st_044090_0180#0,"""Entonces, está vez... ¡Protegeré a Hitsugi!, ¡Te salvaré!"""
st_044090_0190#0,"""Hitsugi solo está siendo engañada... Hitsugi está siendo manipulada... ¡Voy a salvar a Hitsugi!"""
