name01#0,"""Астарта"""
11_voice_NPC_5098_215#0,"""Приветствую.<br>Я Астарта, главный инструктор<br>ARKS по обучению."""
11_voice_NPC_5098_201#0,"""Позвольте мне ознакомить вас<br>с новой практической программой<br>обучения \""<c ff4f3f>ARKS миссиями<c>\""."""
11_voice_NPC_5098_202#0,"""Выполнение различных заданий,<br>чтобы больше узнать о ARKS<br>и мире...<br>Это то, для чего и созданы<br>\""<c ff4f3f>ARKS миссии<c>\""."""
11_voice_NPC_5098_203#0,"""В любом случае, давайте взглянем<br>на них лично.<br>Только на этот раз мы откроем<br><c ff4f3f>главное меню<c> автоматически..."""
11_voice_NPC_5098_204#0,"""Перейдите в раздел \""<c ff4f3f>Квестов<c>\"",<br>и выберите \""<c ff4f3f>ARKS миссии<c>\""."""
11_voice_NPC_5098_205#0,"""Вам понятно, как можно<br>выполнить проверку<br><c ff4f3f>ARKS миссий<c>?"""
11_voice_NPC_5098_206#0,"""А теперь, давайте узнаем,<br>как приступить к выполнению<br>\""<c ff4f3f>миссии<c>\""."""
11_voice_NPC_5098_207#0,"""Поговорите с Ребеккой, перейдите<br>в раздел \""<c ff4f3f>Сюжетные квесты<c>\"",<br>и начните \""<c ff4f3f>Встреча с Сион<c>\""."""
11_voice_NPC_5098_217#0,"""Поговорите с Ребеккой, перейдите<br>в раздел \""<c ff4f3f>Сюжетные квесты<c>\"",<br>и начните \""<c ff4f3f>Встреча с Сион<c>\""."""
text100#0,"""Используйте <%Decide>, чтобы выбрать <yellow>ARKS миссии<c>."""
text110#0,"""Используйте <%Decide>, чтобы выбрать <yellow>Главные миссии<c>."""
text120#0,"""Используйте <%Decide>, чтобы выбрать <yellow>\""Встреча с Сион\""<c>."""
text130#0,"""Используйте <%Cancel> для <yellow>закрытия<c> ARKS миссий."""
text140#0,"""Используйте <%Cancel> для <yellow>закрытия<c> главного меню."""
