name01#0,"""Astalte"""
11_voice_shop_412#0,"""ท่านสำเร็จทุกเงื่อนไขใน Card ใบนี้แล้ว<br>และนี่คือ Card ใบใหม่ของท่าน"""
text02#0,"""Card ใบนี้จะเกี่ยวกับการปลดล็อคระดับ Quest<br>และการเสริมพลังให้กับ Item"""
text03#0,"""และภารกิจแรกคือ ไปรับ ClientOrder <c bb0000>[Difficulty Unlock I]<c><br>และทำให้สำเร็จ"""
text04#0,"""ท่านสามารถไปรับภารกิจได้กับ Cofy <br>ที่อยู่ตรง QuestCounter"""
text05#0,"""แต่ ClientOrder นี้<br>ท่านจะสามารถรับได้เมื่อมี Level <br>เท่ากับ 17  หรือมากกว่าเท่านั้น"""
text06#0,"""ก่อนไปรับภารกิจกรุณาตรวจสอบ<br>ข้อมูลของตัวท่านให้แน่ใจก่อนนะ"""
text07#0,"""และเมื่อท่านสามารถดำเนินภารกิจจนลุล่วงแล้ว<br>ท่านจึงจะได้รับการประทับตราบน StampCard<br>"""
text08#0,"""พยายามเข้านะ"""
name01#1,"""アスタルテ"""
11_voice_shop_412#1,"""カードの取得条件を満たしていますね。<br>では、こちらが新しいカードです。"""
text02#1,"""新たなクエストランクの解放や<br>アイテム強化に関連した<br>カードとなります。"""
text03#1,"""最初の目標は、クライアントオーダー<br><c bb0000>「難易度制限解放試練・Ⅰ」<c>を<br>受注し、達成することです。"""
text04#1,"""クエストカウンターにいるコフィーから<br>該当のオーダーを受注<br>達成してください。"""
text05#1,"""ただし、このクライアントオーダーの<br>受注には、クラスレベル１７以上という<br>条件があります。"""
text06#1,"""まずその条件を満たしているかの<br>確認をお願いします。"""
text07#1,"""なお、すでに目標達成済みでしたら<br>引き続いてスタンプを押させて<br>もらいます。よろしくお願いします。"""
text08#1,"""それでは、頑張って下さい。"""
