text100#0,"""關於『委託』"""
text101#0,"""拉薇兒有委託。<br><br>拉薇兒位在出發區－東任務櫃台前。"""
tutorial01#0,"""瑪露有委託。<br><br>瑪露位在出發區－中央大廳。"""
tutorial02#0,"""歐薩有委託。<br><br>歐薩位在出發區－中央大廳。"""
tutorial03#0,"""莉莎有委託。<br><br>莉莎位在出發區－中央大廳。"""
tutorial04#0,"""亞莎娜糸有委託。<br><br>亞莎娜糸位在出發區－中央大廳。"""
tutorial05#0,"""強恩有委託。<br><br>強恩位在商店區－南外圍道路。"""
tutorial06#0,"""蘿拉有委託。<br><br>蘿拉位在出發區－醫學中心。"""
tutorial07#0,"""ジャンにクライアントオーダーが発生しました。<br><br>ジャンはショップエリア・南外周通路にいます。"""
tutorial08#0,"""ローラにクライアントオーダーが発生しました。<br><br>ローラはゲートエリア・メディカルセンターにいます。"""
tutorial09#0,"""ピエトロにクライアントオーダーが発生しました。<br><br>ピエトロはゲートエリア・クラスカウンターにいます。"""
tutorial10#0,"""アークス・ロビーには<br>各クラスの手ほどきをしてくれるアークスがいます。<br><br>オーザ      ：ハンター・ファイター<br>マールー    ：フォース・テクター<br>リサ         ：レンジャー・ガンナー<br>アザナミ    ：ブレイバー<br>サガ、カトリ ：バウンサー<br>ピエトロ     ：サモナー<br><br>彼らをゲートエリアで探して、話しかけてみましょう。"""
tutorial11#0,"""その他にも、いろいろなキャラクターが<br>クライアントオーダーを依頼してきます。<br><br>ラヴェール：ゲートエリア・東クエストカウンター前<br>ハンス     ：ゲートエリア・西クエストカウンター前<br>ジャン     ：ショップエリア・南外周通路<br><br>彼らにも、話しかけてみましょう。"""
