name01#0,"""？？？"""
name02#0,"""？？？"""
st_010648_0010#0,"""Эй! Вы двое!<br>Вы же ARKS, верно?<br>Не могли бы вы мне помочь?"""
st_010648_0020#0,"""Эти белые детали Каста...<br>Должно быть вы Региус<br>из Совета Шести?"""
st_010648_0030#0,"""Если вы знаете, кто я,<br>то объяснить всё будет<br>гораздо проще."""
st_010648_0040#0,"""Я слышала, что вы на Набериусе.<br>Откуда вы здесь?"""
st_010648_0050#0,"""А вы хорошо проинформированы.<br>Я член ARKS, и поэтому должен действовать<br>согласно экстренному протоколу."""
st_010648_0060#0,"""Тем не менее, похоже, я опоздал.<br>Этот сектор уже под контролем."""
st_010648_0070#0,"""Понятно. Мы можем чем-то помочь?"""
st_010648_0080#0,"""Ничего особенного. Мне нужно<br>чтобы вы занялись<br>эвакуацией гражданских."""
st_010648_0090#0,"""Я гораздо полезнее в бою, так что<br>здесь буду чувствовать себя не в<br>своей тарелке. Я всего лишь<br>старый упрямый Каст."""
st_010648_0100#0,"""Если один из вас пойдёт со мной,<br>этого будет вполне достаточно."""
st_010648_0110#0,"""Тогда я буду сопровождать вас.<br>С точки зрения способностей<br>это будет наилучшим решением."""
st_010648_0120#0,"""<%me>, пожалуйста,<br>продолжите ликвидацию даркеров."""
st_010648_0130#0,"""Девушки в наши дни<br>довольно способные,<br>не так ли?"""
st_010648_0140#0,"""Тогда приступим.<br>Если разделим задачи,<br>то сможем справиться быстрее."""
st_010648_0150#0,"""Ну и ну, быть под<br>командованием женщины...<br>притом, что мы<br>разного возраста...<br>Что ж, прошу простить."""
st_010648_0160#0,"""A.P.238/3/31/13:30"""
